epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_f1,validation_precision,validation_recall_sensitivity,validation_specificity,test_loss,test_dice,test_iou,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_accuracy
1,1.1116598047056283,1.017403844222306,0.24648473166869764,0.1405660595720161,0.24648473166869764,0.2973565820837437,0.2104763727042517,0.9770959502264087,1.0598886867540072,0.2696362467722822,0.15582633782597374,0.2696362467722822,0.33460299176255903,0.225795616031456,0.9788806259678825,0.9450509674516274
2,0.979297506869657,0.9819551514524919,0.26038118816542033,0.14967715133571455,0.26038118816542033,0.34950757404063304,0.20747412584965713,0.982217160936886,1.0421025921813154,0.2853314429145876,0.16640617904581687,0.2853314429145876,0.39701051854585717,0.22268901390090928,0.9840918005484343,0.9498884955752213
3,0.9504478904195237,1.0031330763340083,0.20079577719151626,0.11160254886356497,0.20079577719151626,0.41221853678030246,0.13272331698920045,0.9912846045537173,1.0592506575373422,0.19166481753762374,0.10598965246953683,0.1916648175376237,0.4284969168714359,0.1234393531429304,0.9922564692804193,0.9532279586020699
4,0.9293044220627182,0.9608482987079693,0.2744520626396051,0.15905212292127907,0.2744520626396051,0.3522655361673206,0.22479591149198885,0.9809643917221494,1.0200054977847413,0.3074763707434097,0.18166740211388543,0.3074763707434097,0.3893949614755869,0.254034175294633,0.9812640070477798,0.9485958002099895
5,0.9145065985140158,0.953366108813261,0.2953975977818768,0.173294134396085,0.29539759778187674,0.36614417041475006,0.24756328693960333,0.9802632287652288,1.0128372206097156,0.3319260388268419,0.198987602799937,0.3319260388268419,0.3922899128287137,0.2876618745392185,0.9790402488332642,0.9479825408729563
6,0.9046573907795834,1.0074748244406442,0.2391998896976647,0.13584727096398994,0.2391998896976647,0.26389713137452797,0.2187297141274353,0.9719027944763884,1.0664261595337792,0.2396050862838273,0.13610871311711745,0.23960508628382726,0.2746819946922855,0.21247235311087603,0.9736114695279259,0.93942000899955
7,0.8951472872403455,0.9753621643167723,0.27225252935708527,0.1575765752710244,0.27225252935708527,0.46522184756017376,0.19243318856088973,0.9898130298661012,1.0454971294487472,0.28293556351869686,0.16477865216200213,0.2829355635186969,0.4879388708709298,0.1992305616993087,0.9901660756244263,0.9546361181940903
8,0.8872773507711699,0.9457026757011948,0.2908660854365806,0.1701833208961156,0.2908660854365806,0.358986310659982,0.24447516985668197,0.9798963148002954,1.005190297565629,0.29490496139516226,0.1729551460289643,0.2949049613951623,0.35721960492602695,0.25110186876943297,0.9787483921498468,0.9460614669266537
9,0.8800440959077005,0.9341424247696956,0.2966764935231004,0.1741750714969798,0.2966764935231003,0.3949368387628221,0.23756923252556078,0.9832384273704442,0.9944819122289135,0.3272385782883385,0.1956277649884405,0.3272385782883385,0.4248652786870563,0.2660946298255174,0.9830578326016605,0.950850817459127
10,0.8747687212791433,0.9378491022508393,0.32411984762143786,0.19340276043093974,0.32411984762143786,0.3380259735403684,0.31131268561270625,0.9719237437602514,0.9976318262319649,0.33465019293937864,0.20094888864823154,0.33465019293937864,0.3242675793177791,0.3457196739002682,0.9661148171479559,0.9382457777111144
11,0.8704030961201948,0.9441055904162481,0.32166491932030933,0.19165715060310945,0.32166491932030933,0.297756444813977,0.3497480835464725,0.9620131364056966,1.0198911992849502,0.3165568999507896,0.18804134214072102,0.3165568999507896,0.27020284421064067,0.3821087230609781,0.9514584416436143,0.9258824358782061
12,0.8657091473987195,0.9254876892064815,0.316263746662186,0.18783449369533345,0.316263746662186,0.4460046090682637,0.2449955678006907,0.9859855346399641,0.9877108372418226,0.3480815598365283,0.2107135263906144,0.3480815598365282,0.475067165954773,0.2746638298554348,0.9857253750477738,0.9537834708264586
