epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_f1,validation_precision,validation_recall_sensitivity,validation_specificity,test_loss,test_dice,test_iou,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_accuracy
1,1.0295477927559313,0.9609320405659735,0.30618060904256666,0.18076343362056904,0.3061806090425667,0.29770722522022186,0.315150464737316,0.9657627968769955,1.0086749644406074,0.3377113136358311,0.20316044764431876,0.3377113136358311,0.31508617548778417,0.3638370676667628,0.9628012763798615,0.9358949452527373
2,0.9144477435918077,0.9327611426065964,0.3323354651836653,0.199281964834892,0.33233546518366536,0.34511079915434817,0.32047220431644335,0.9719939958253545,0.9902564229163449,0.3623799807969275,0.22128453276558943,0.36237998079692746,0.36182412999712393,0.36293754207135304,0.969891490373755,0.9426262486875656
3,0.8883559202216549,0.9292985417743006,0.3187387181178688,0.1895830954728515,0.31873871811786875,0.4731608181607495,0.2403103530539766,0.9876776574932753,0.9971668023978715,0.35622371628435606,0.21671058270723845,0.35622371628435606,0.5190767480360761,0.271153209176096,0.9881839189605831,0.9559738713064346
4,0.8682183630033294,0.9036383573344215,0.3501421089547033,0.212225617039577,0.3501421089547033,0.3796319872316873,0.32490354547708883,0.9755492294007417,0.9813280517021111,0.3714135542605712,0.22805885142433316,0.3714135542605712,0.36934363928721187,0.3735068008676048,0.9700031824062811,0.9432077096145193
5,0.852828637084521,0.8945717653974492,0.3610070158552839,0.22026147722875702,0.36100701585528394,0.38617284938144253,0.3389204899818344,0.9751907471624238,0.9650517227375401,0.38643141239435486,0.23948868078039107,0.3864314123943548,0.4028252500474521,0.3713197583100939,0.9741090895704769,0.9470309284535773
6,0.8422575044192333,0.9417961612142892,0.3015667780151701,0.17755586390541275,0.3015667780151702,0.29259875632278953,0.3111019132340859,0.965362421170272,1.0307149528402142,0.28441498892348827,0.1657830926985197,0.28441498892348827,0.2631472236893667,0.3094227810366381,0.9592480186285726,0.9300569371531423
7,0.8306508839656493,0.8955832762767916,0.3560313093722347,0.21656818125671282,0.3560313093722347,0.41787508590003997,0.3101329250096016,0.9801038482249842,1.0020758968538943,0.3349434248895563,0.2011603869179877,0.3349434248895563,0.36786351258054617,0.3074314036606084,0.9751522604884346,0.9451572821358932
8,0.8258241024257357,0.8826824355292573,0.37277773312107904,0.229088392353481,0.37277773312107904,0.41637891850184294,0.3374423981567189,0.97821821890313,0.9755119180257341,0.3708235391561866,0.2276141032409238,0.37082353915618654,0.4154497633304252,0.334854580034405,0.9778397793498141,0.9489559622018899
9,0.8171710835192406,0.8906215013369969,0.3498109902436731,0.21198237788247515,0.3498109902436731,0.4134641759761481,0.30314200328100677,0.9801959381305653,0.9668986101066117,0.35860045856094847,0.21847237647364973,0.35860045856094847,0.4180338946881724,0.3139631481659561,0.9794420700290198,0.9495478026098695
10,0.8112414318459086,0.8805625706980731,0.3796962510311844,0.234336463933277,0.3796962510311844,0.3718558369457535,0.3878744095591336,0.9698263842728528,0.9791636714893105,0.3772097961525338,0.2324452016398723,0.3772097961525338,0.3492067644096836,0.410095522005321,0.9640532259649174,0.9391686515674216
11,0.8081176200655179,0.867851559386801,0.3957956158789195,0.24672393355649003,0.3957956158789195,0.4001483357829635,0.3915365727171073,0.9729699598946848,0.9716347572022834,0.4033291061595792,0.25260628706612465,0.4033291061595792,0.36169869994425,0.4557890181748245,0.9621681873451042,0.9394209089545523
12,0.8019410939959601,0.8710956636701752,0.3691142660736014,0.226327484749621,0.3691142660736014,0.49632280270094936,0.2938101351119045,0.9862688681905709,0.9654791808761327,0.38384723553364675,0.2375067778078463,0.38384723553364675,0.4795062815516008,0.32000739921573657,0.9836621191634631,0.9538497975101244
13,0.7968536757676947,0.8666375669326453,0.37416640970820886,0.23013819614900227,0.3741664097082088,0.43288268702385585,0.32947620434102515,0.9801217455654669,0.9560774870678387,0.4002484556899341,0.2501941361541561,0.4002484556899341,0.4282745137448725,0.375665128057185,0.9764125649893095,0.9494261286935654
14,0.7912180627662277,0.8891483157117783,0.34525650532631386,0.208646540347571,0.34525650532631386,0.3663724911167911,0.32644192916464654,0.9740002839964623,0.9818153565963813,0.3333110817517159,0.19998397907513,0.33331108175171587,0.35805844722102276,0.31176341742261543,0.9737105663678077,0.9439749512524374
15,0.7874748255732925,0.8927285959453607,0.34095587353890866,0.2055134448209054,0.34095587353890866,0.37583608168811916,0.312000090354747,0.9761380237288776,0.994935643883933,0.3259097320119131,0.19467870893460826,0.32590973201191314,0.34829601082192063,0.3062273616052826,0.9730498998289566,0.9430952752362382
16,0.7861507865481054,0.8593727640383068,0.38503008512154063,0.23841316273097105,0.3850300851215406,0.4513838557182809,0.3356842453709386,0.9812109413235941,0.9536668231001998,0.4037418773612952,0.25293019445619924,0.4037418773612952,0.4397306762914405,0.37319827761216356,0.9776352409595414,0.9504830658467077
