epoch,train_flow_mse,train_flow_rmse,validation_flow_mse,validation_flow_rmse,test_flow_mse,test_flow_rmse,best_validation_flow_mse_so_far,is_best_epoch
1,0.6085841036861119,0.7801180062568175,0.5287880624517056,0.7271781504223745,0.5337204536445189,0.7305617384208667,0.5287880624517056,True
2,0.5197713970083211,0.7209517300127111,0.5238670704177487,0.7237866193967313,0.5383658616159598,0.7337341900279418,0.5238670704177487,True
3,0.5013672557715985,0.7080729169877905,0.5052523334828208,0.710811039224083,0.5122508735204078,0.7157170345327878,0.5052523334828208,True
4,0.4928634096860331,0.7020423133159661,0.4886253153637075,0.6990173927476394,0.4939365747355592,0.7028062142123952,0.4886253153637075,True
5,0.4880117058922734,0.698578346280697,0.4882200367262568,0.6987274409426445,0.4866398785749556,0.6975957845163312,0.4882200367262568,True
6,0.4819727119044683,0.6942425454439308,0.4798667755365671,0.6927241698804562,0.4932847601696125,0.7023423383006413,0.4798667755365671,True
7,0.4820138888251059,0.6942722008154337,0.4841252807531129,0.6957911186218986,0.4896514528906204,0.6997509934902704,0.4798667755365671,False
8,0.4787988543307516,0.69195292782873,0.4782046688003718,0.6915234405284986,0.4883067559977308,0.6987894933366777,0.4782046688003718,True
9,0.4785577620683475,0.691778694430775,0.4753368713059443,0.6894467864207827,0.4781116164232149,0.6914561565444443,0.4753368713059443,True
10,0.4751898406786878,0.6893401487500114,0.4716044606471177,0.6867346362657979,0.4780172639101454,0.6913879257769443,0.4716044606471177,True
11,0.4757908429310947,0.6897759367585207,0.4749939353607894,0.6891980378387546,0.4751027170508425,0.6892769523572092,0.4716044606471177,False
12,0.4752199034506901,0.6893619538752411,0.4710438911721536,0.6863263736533469,0.4677754196277071,0.683941093682568,0.4710438911721536,True
13,0.4736196662392226,0.6882003096767848,0.5260485266902004,0.7252920285582908,0.524265946886686,0.7240621153510837,0.4710438911721536,False
14,0.4713153379464224,0.6865240985911729,0.4802796712201125,0.6930221289541284,0.4909836685258851,0.7007022681038538,0.4710438911721536,False
15,0.4726982499798746,0.6875305447613761,0.4686208780712304,0.6845588930627009,0.4721770668492734,0.6871514147910004,0.4686208780712304,True
16,0.471664811632657,0.6867785754030603,0.4695576583441268,0.6852427732885089,0.4809097810341959,0.6934765901125978,0.4686208780712304,False
17,0.4674991654984874,0.6837391063106508,0.4769613063744712,0.6906238530303389,0.471391108043757,0.6865792802319023,0.4686208780712304,False
18,0.4679052035586434,0.6840359665680186,0.4789025094383551,0.6920278241793137,0.4699723278177337,0.6855452777298767,0.4686208780712304,False
19,0.468846129211629,0.6847233961327953,0.4588915062919272,0.6774153130037195,0.472880706432182,0.6876632216660871,0.4588915062919272,True
20,0.4656107647938856,0.6823567723661029,0.4616555813596164,0.6794524128734966,0.4728486289741409,0.6876398977474627,0.4588915062919272,False
