epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_f1,validation_precision,validation_recall_sensitivity,validation_specificity,test_loss,test_dice,test_iou,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_accuracy
1,1.3362521357670911,1.0978295001627065,0.181104787321389,0.09956856561004608,0.18110478732138904,0.254420801290773,0.14059093444026757,0.9810263892620281,1.1204998535392559,0.20596827331723336,0.11480748654210067,0.20596827331723336,0.2598182641018209,0.17060801786496566,0.9771396625317581,0.9409091045447727
2,1.0518395105702554,1.0286874639437222,0.2283456797341145,0.12888839381479616,0.2283456797341145,0.29573634220901296,0.18596831194799243,0.9796051257463012,1.0709056284575336,0.26692248447447187,0.15401647190231527,0.2669224844744718,0.32078727566364756,0.2285462811595132,0.9772397330648369,0.9436073496325184
3,1.0142862797095977,1.0085129703353382,0.2501481375877091,0.14295389396155095,0.2501481375877091,0.32853629749313606,0.20196068693746627,0.9809910764668596,1.0689343351178464,0.2718905073096627,0.15733407429316354,0.27189050730966263,0.36381963660460825,0.21704744580141253,0.9821489685259642,0.9477795110244488
4,0.9956782231076264,0.9972966534187526,0.26707847318846567,0.15412035055036397,0.26707847318846567,0.33320830583783895,0.2228506546206958,0.9794628687246381,1.0617732089177696,0.28529611248999903,0.1663821459600762,0.28529611248999903,0.3678418903661035,0.23300784797683538,0.9811656954443471,0.9475573721313935
5,0.9809593392722749,0.9910480904210585,0.28928282666833294,0.1691003230562928,0.28928282666833294,0.3180500082106678,0.2652879041624029,0.9738045376513449,1.0650767145958622,0.29114569980038985,0.17037479425038246,0.29114569980038985,0.31039869463404157,0.274141610838649,0.9713537576893494,0.9400339883005849
6,0.9699601419507692,0.9953867309538769,0.25485483547409693,0.14603646771317866,0.2548548354740969,0.294708543958441,0.22449603006598498,0.9752579281616943,1.0576002407917935,0.2718226217140547,0.15728861234351765,0.27182262171405475,0.348726587530638,0.22270904787853532,0.980437215885748,0.9463989800509974
7,0.9623814466834475,0.9749720520238621,0.2858425422767641,0.16675395891368316,0.2858425422767641,0.39175704420412744,0.2250095074564535,0.9839116078055616,1.0674022773725798,0.2801750570843009,0.16290905550497897,0.28017505708430096,0.39599453967216075,0.2167736481071898,0.984448486353093,0.9499634318284086
8,0.9529391608433656,0.9764453524761485,0.27613316973389307,0.16018242528123094,0.2761331697338931,0.34007279270635926,0.23243191185717263,0.9792283305728714,1.0579235891325285,0.2685962916807182,0.1551320991113341,0.2685962916807182,0.338574694990335,0.2225901796112874,0.9795474801699529,0.9455438728063597
9,0.9466853014793386,0.9608248893721335,0.3044861614082151,0.1795834126963583,0.3044861614082151,0.372772986022621,0.25734427135125026,0.9800590277465533,1.044228562739043,0.30610072743888295,0.180707750689372,0.30610072743888295,0.3651360780285574,0.26349822632518083,0.9784514471342387,0.9463347232638368
10,0.9399095307194061,0.9651856389530867,0.2972819288808282,0.17459257285349017,0.2972819288808282,0.3592332414623913,0.25355524060577767,0.9791720009278417,1.0481451559910733,0.2922502234781168,0.1711317591698551,0.29225022347811674,0.3248543846336684,0.2655937803848661,0.9740378215103527,0.9422134993250337
11,0.9356797715224326,0.9598539431446986,0.31607250963985745,0.1876995960035422,0.31607250963985745,0.3309629518968413,0.3024642596317081,0.9718423535041235,1.049498843408264,0.3044081216819001,0.17952912229318427,0.3044081216819002,0.29462434528964726,0.31486400935987435,0.9645440301550898,0.9353594720263987
