sample_in_window,time_seconds_in_window,absolute_time_seconds_in_recording,Fpz,Fp1,Fp2,AF3,AF4,AF7,AF8,Fz,F1,F2,F3,F4,F5,F6,F7,F8,FCz,FC1,FC2,FC3,FC4,FC5,FC6,FT7,FT8,Cz,C1,C2,C3,C4,C5,C6,T7,T8,CP1,CP2,CP3,CP4,CP5,CP6,TP7,TP8,Pz,P3,P4,P5,P6,P7,P8,POz,PO3,PO4,PO5,PO6,PO7,PO8,Oz,O1,O2
772,3.088,309.088,-17384.945,-29663.492,-19199.37,-9183.212,-22244.201,-20513.96,-18171.145,6693.365,-13106.695,3551.5723,-928.1135,-26318.01,-16601.0,-11950.695,-23734.674,-18002.03,543.5685,-6302.233,-7950.547,-1254.3188,-19912.66,9227.845,-30116.723,1688.2935,-32866.918,-15649.443,-154.69127,9317.288,-1005.5309,-20735.69,7267.607,-6472.1,-3119.8523,-25448.379,2921.7102,-5096.6265,-968.70123,-3226.583,-5190.5796,2330.1814,-29313.236,-34426.543,-24677.213,-6952.3887,-1614.3472,-29379.379,-1612.0924,-29925.81,-36120.703,-32789.5,-33780.145,-36240.21,-33664.395,-29553.756,-29623.656,-32659.47,-32145.36,-30191.885,-33919.195
773,3.092,309.092,-17387.951,-29666.5,-19198.617,-9185.467,-22245.705,-20516.215,-18172.648,6689.607,-13107.447,3550.0688,-931.87164,-26318.762,-16604.006,-11950.695,-23739.936,-18002.03,542.0652,-6303.7363,-7951.2983,-1258.8285,-19909.654,9224.087,-30113.717,1685.287,-32861.656,-15649.443,-153.93964,9318.792,-1007.78577,-20734.188,7263.8486,-6469.845,-3122.859,-25443.87,2920.9587,-5092.868,-971.70776,-3224.3281,-5191.331,2332.4363,-29315.49,-34425.04,-24676.46,-6953.1406,-1612.0924,-29378.627,-1609.0858,-29928.064,-36114.69,-32789.5,-33781.65,-36237.207,-33662.89,-29551.5,-29623.656,-32656.465,-32141.602,-30191.135,-33917.69
774,3.096,309.096,-17382.69,-29657.48,-19191.1,-9182.461,-22241.195,-20511.705,-18168.139,6691.1104,-13105.943,3550.8206,-931.87164,-26310.494,-16603.256,-11948.44,-23733.922,-17998.271,542.0652,-6303.7363,-7952.0503,-1258.0769,-19908.902,9224.087,-30109.959,1686.0386,-32857.9,-15648.691,-155.44289,9318.792,-1007.0341,-20728.926,7265.352,-6466.839,-3120.604,-25439.36,2922.462,-5092.868,-970.9561,-3222.825,-5191.331,2334.6912,-29316.242,-34422.785,-24677.213,-6954.6436,-1612.844,-29382.385,-1608.3342,-29931.072,-36112.438,-32792.508,-33785.406,-36240.21,-33662.14,-29553.756,-29628.166,-32656.465,-32147.613,-30195.645,-33920.7
775,3.1,309.1,-17384.945,-29654.473,-19191.1,-9183.964,-22241.195,-20512.457,-18165.883,6691.1104,-13106.695,3552.3237,-931.12,-26311.996,-16601.752,-11946.9375,-23735.426,-17997.52,542.81683,-6302.985,-7951.2983,-1258.0769,-19908.902,9223.335,-30109.959,1686.0386,-32856.4,-15646.437,-154.69127,9318.792,-1007.78577,-20728.926,7266.855,-6465.3354,-3121.3555,-25437.857,2920.9587,-5092.1167,-971.70776,-3219.8184,-5191.331,2336.1943,-29315.49,-34419.023,-24674.957,-6953.892,-1610.5891,-29380.13,-1606.0793,-29929.568,-36108.68,-32789.5,-33783.902,-36237.207,-33662.89,-29548.494,-29628.166,-32652.707,-32142.354,-30195.645,-33913.934
776,3.104,309.104,-17387.951,-29661.238,-19199.37,-9186.219,-22244.953,-20517.719,-18171.145,6690.3584,-13108.198,3550.8206,-934.1265,-26316.506,-16604.006,-11949.944,-23738.432,-17999.775,542.81683,-6302.985,-7952.0503,-1260.3318,-19909.654,9221.08,-30112.965,1683.7838,-32860.156,-15646.437,-156.94614,9318.792,-1009.289,-20731.18,7263.097,-6467.5903,-3122.859,-25439.36,2919.4553,-5094.3716,-973.211,-3222.0732,-5194.3374,2333.9395,-29316.242,-34425.04,-24674.957,-6954.6436,-1609.8375,-29384.64,-1604.576,-29929.568,-36112.438,-32785.742,-33782.4,-36235.703,-33664.395,-29546.24,-29625.912,-32651.203,-32140.098,-30192.637,-33909.42
777,3.108,309.108,-17387.2,-29664.996,-19201.623,-9186.219,-22244.953,-20516.967,-18166.635,6689.607,-13109.702,3550.0688,-935.62976,-26320.264,-16607.014,-11947.689,-23739.184,-17997.52,542.0652,-6305.991,-7952.802,-1263.3383,-19911.908,9221.08,-30111.46,1684.5354,-32860.156,-15649.443,-156.19452,9318.792,-1010.04065,-20732.684,7262.345,-6464.584,-3124.362,-25438.607,2919.4553,-5095.123,-973.96265,-3222.0732,-5195.841,2336.1943,-29319.248,-34422.785,-24674.205,-6953.892,-1608.3342,-29386.895,-1602.3212,-29930.32,-36110.184,-32784.992,-33783.902,-36234.2,-33667.4,-29544.736,-29625.16,-32647.445,-32138.594,-30191.885,-33904.914
778,3.112,309.112,-17388.703,-29664.244,-19203.879,-9187.722,-22244.953,-20519.223,-18171.896,6687.352,-13110.453,3547.814,-935.62976,-26324.773,-16608.516,-11947.689,-23739.184,-17998.271,539.0587,-6306.7427,-7955.0566,-1261.8351,-19911.158,9221.832,-30111.46,1683.0321,-32861.656,-15650.946,-156.94614,9317.288,-1010.79224,-20732.684,7263.097,-6466.0874,-3123.6104,-25437.857,2919.4553,-5095.123,-972.4594,-3221.3218,-5194.3374,2336.946,-29322.256,-34420.527,-24673.453,-6954.6436,-1608.3342,-29383.889,-1600.818,-29929.568,-36106.42,-32785.742,-33783.902,-36229.69,-33665.145,-29539.475,-29625.16,-32647.445,-32134.836,-30191.885,-33902.66
779,3.116,309.116,-17384.945,-29654.473,-19194.107,-9184.716,-22241.195,-20513.96,-18165.133,6689.607,-13108.198,3549.3174,-933.3749,-26315.004,-16605.51,-11944.683,-23733.172,-17995.266,541.3136,-6305.2397,-7952.0503,-1258.8285,-19908.15,9222.584,-30107.703,1686.7903,-32856.4,-15650.194,-156.94614,9318.04,-1009.289,-20728.926,7264.6,-6463.8325,-3121.3555,-25434.098,2920.9587,-5093.6196,-971.70776,-3219.067,-5191.331,2338.4492,-29318.498,-34418.273,-24670.447,-6952.3887,-1606.0793,-29376.373,-1599.3147,-29927.314,-36107.176,-32783.49,-33780.145,-36228.188,-33659.133,-29537.973,-29622.154,-32642.936,-32131.078,-30188.879,-33897.4
780,3.12,309.12,-17384.945,-29655.225,-19191.1,-9183.212,-22241.195,-20513.96,-18162.877,6689.607,-13107.447,3550.0688,-934.1265,-26311.244,-16604.758,-11943.18,-23732.42,-17992.258,542.0652,-6304.488,-7952.0503,-1258.8285,-19906.648,9222.584,-30107.703,1688.2935,-32855.645,-15650.194,-156.94614,9318.04,-1010.04065,-20727.422,7264.6,-6462.329,-3118.349,-25434.098,2920.207,-5095.123,-971.70776,-3219.067,-5190.5796,2336.1943,-29313.988,-34418.273,-24671.951,-6952.3887,-1606.8309,-29372.613,-1600.818,-29924.307,-36104.92,-32784.992,-33778.64,-36229.69,-33651.617,-29539.475,-29620.65,-32644.438,-32134.084,-30186.625,-33898.902
781,3.124,309.124,-17385.697,-29659.734,-19193.355,-9183.964,-22242.7,-20516.215,-18167.387,6691.1104,-13107.447,3551.5723,-931.87164,-26315.754,-16605.51,-11944.683,-23734.674,-17996.016,542.81683,-6302.985,-7951.2983,-1258.0769,-19907.398,9223.335,-30109.207,1686.7903,-32857.9,-15648.691,-156.19452,9318.04,-1010.04065,-20731.18,7263.8486,-6465.3354,-3119.8523,-25435.602,2920.9587,-5095.123,-972.4594,-3221.3218,-5192.8345,2335.4426,-29316.242,-34419.023,-24671.951,-6952.3887,-1607.5826,-29374.117,-1601.5696,-29925.81,-36109.43,-32784.242,-33777.137,-36232.695,-33657.63,-29540.979,-29619.898,-32643.688,-32131.078,-30187.375,-33895.14
782,3.128,309.128,-17381.94,-29658.232,-19191.852,-9183.212,-22239.691,-20516.967,-18164.38,6691.862,-13107.447,3552.3237,-932.6232,-26320.264,-16607.766,-11943.18,-23733.922,-17992.258,543.5685,-6304.488,-7949.0435,-1258.0769,-19909.654,9223.335,-30108.455,1686.7903,-32854.14,-15649.443,-156.94614,9318.792,-1010.04065,-20734.938,7264.6,-6463.8325,-3119.8523,-25431.844,2920.207,-5093.6196,-971.70776,-3223.5767,-5192.8345,2333.9395,-29315.49,-34420.527,-24671.951,-6952.3887,-1610.5891,-29377.875,-1604.576,-29925.059,-36115.44,-32783.49,-33777.89,-36236.453,-33661.387,-29545.488,-29617.645,-32652.707,-32133.334,-30187.375,-33902.66
783,3.132,309.132,-17385.697,-29660.486,-19192.604,-9184.716,-22241.947,-20518.47,-18166.635,6690.3584,-13107.447,3550.8206,-934.8781,-26315.004,-16610.02,-11943.931,-23733.172,-17994.514,542.81683,-6304.488,-7949.0435,-1259.5802,-19908.15,9221.832,-30109.207,1686.0386,-32857.9,-15648.691,-157.69777,9318.04,-1010.79224,-20734.188,7262.345,-6466.0874,-3121.3555,-25436.354,2919.4553,-5095.8745,-973.96265,-3224.3281,-5194.3374,2333.9395,-29318.498,-34421.28,-24671.2,-6953.892,-1611.3407,-29383.137,-1604.576,-29926.562,-36115.44,-32784.992,-33780.895,-36237.207,-33666.65,-29546.24,-29622.154,-32653.457,-32134.084,-30191.135,-33902.66
784,3.136,309.136,-17382.69,-29651.467,-19189.598,-9182.461,-22239.691,-20511.705,-18164.38,6691.1104,-13106.695,3551.5723,-932.6232,-26308.99,-16607.014,-11943.18,-23727.158,-17992.258,543.5685,-6303.7363,-7949.7954,-1259.5802,-19907.398,9223.335,-30112.213,1687.5419,-32854.895,-15647.939,-156.19452,9318.04,-1010.04065,-20733.436,7264.6,-6466.0874,-3119.1006,-25434.85,2921.7102,-5095.8745,-973.211,-3223.5767,-5192.0825,2333.9395,-29313.236,-34420.527,-24671.951,-6953.1406,-1611.3407,-29377.875,-1605.3278,-29924.307,-36113.94,-32785.742,-33780.145,-36234.953,-33663.64,-29546.24,-29619.146,-32654.96,-32132.582,-30189.63,-33905.664
785,3.14,309.14,-17382.69,-29649.213,-19188.846,-9181.709,-22241.195,-20510.955,-18165.883,6690.3584,-13106.695,3551.5723,-934.1265,-26308.238,-16606.262,-11944.683,-23728.662,-17993.01,543.5685,-6303.7363,-7950.547,-1258.8285,-19906.648,9223.335,-30110.71,1688.2935,-32854.895,-15646.437,-155.44289,9318.04,-1010.04065,-20731.932,7264.6,-6463.8325,-3119.1006,-25431.844,2920.9587,-5095.123,-972.4594,-3221.3218,-5189.8276,2336.1943,-29308.727,-34416.02,-24671.2,-6950.8857,-1609.0858,-29375.621,-1603.0729,-29917.543,-36107.926,-32784.242,-33777.137,-36235.703,-33656.125,-29546.24,-29612.383,-32648.197,-32127.32,-30184.37,-33902.66
786,3.144,309.144,-17383.441,-29651.467,-19190.35,-9182.461,-22240.443,-20511.705,-18174.902,6692.6133,-13106.695,3554.5786,-933.3749,-26301.475,-16604.758,-11928.147,-23728.662,-17990.004,545.82336,-6302.233,-7946.7886,-1257.3253,-19902.889,9224.087,-30102.441,1689.0452,-32855.645,-15644.934,-154.69127,9321.047,-1008.5374,-20730.428,7266.1035,-6463.081,-3117.5974,-25430.34,2920.9587,-5094.3716,-971.70776,-3221.3218,-5192.8345,2338.4492,-29313.988,-34413.01,-24671.951,-6950.8857,-1609.8375,-29380.883,-1601.5696,-29922.805,-36108.68,-32786.496,-33778.64,-36237.207,-33662.89,-29543.984,-29618.396,-32645.941,-32128.824,-30192.637,-33903.41
787,3.148,309.148,-17383.441,-29655.977,-19193.355,-9183.212,-22241.947,-20513.209,-18160.623,6691.862,-13108.95,3553.8271,-933.3749,-26312.748,-16604.006,-11946.9375,-23730.164,-17992.258,545.0717,-6302.985,-7948.292,-1257.3253,-19908.15,9225.59,-30109.207,1689.0452,-32859.402,-15647.188,-155.44289,9320.295,-1007.78577,-20734.188,7266.855,-6462.329,-3116.8457,-25435.602,2920.207,-5096.6265,-970.2045,-3224.3281,-5190.5796,2335.4426,-29313.988,-34416.77,-24671.951,-6950.8857,-1611.3407,-29381.633,-1603.8245,-29922.053,-36112.438,-32784.992,-33774.883,-36236.453,-33664.395,-29546.24,-29613.135,-32648.947,-32127.32,-30189.63,-33898.902
788,3.152,309.152,-17379.684,-29650.715,-19185.84,-9177.951,-22236.686,-20509.451,-18157.615,6695.62,-13103.688,3556.8335,-928.8651,-26305.984,-16601.0,-11942.428,-23728.662,-17987.748,548.0782,-6300.73,-7946.037,-1254.3188,-19905.896,9227.094,-30108.455,1692.8032,-32856.4,-15647.188,-153.93964,9320.295,-1005.5309,-20735.69,7268.3584,-6464.584,-3116.0942,-25441.615,2921.7102,-5096.6265,-968.70123,-3225.8315,-5188.3247,2332.4363,-29313.988,-34423.535,-24672.703,-6950.134,-1613.5956,-29380.13,-1607.5826,-29922.053,-36113.94,-32785.742,-33776.387,-36240.21,-33665.9,-29549.246,-29616.14,-32653.457,-32131.078,-30190.383,-33901.156
789,3.156,309.156,-17378.932,-29643.2,-19184.336,-9177.199,-22236.686,-20507.195,-18157.615,6697.875,-13099.931,3557.5852,-926.6102,-26303.729,-16598.746,-11940.925,-23724.152,-17987.748,548.82983,-6297.723,-7945.2856,-1252.8156,-19900.635,9229.349,-30104.697,1692.8032,-32851.137,-15646.437,-154.69127,9321.047,-1005.5309,-20729.678,7269.862,-6460.074,-3114.591,-25429.588,2920.9587,-5095.8745,-970.2045,-3222.825,-5188.3247,2337.6975,-29313.988,-34416.02,-24673.453,-6950.8857,-1612.844,-29376.373,-1605.3278,-29922.805,-36112.438,-32790.254,-33777.89,-36238.71,-33667.4,-29549.998,-29619.146,-32654.96,-32133.334,-30191.885,-33904.16
790,3.16,309.16,-17381.94,-29649.213,-19188.094,-9179.454,-22238.94,-20512.457,-18162.125,6696.3716,-13102.186,3556.0818,-928.1135,-26301.475,-16601.0,-11943.18,-23724.152,-17992.258,548.0782,-6297.723,-7945.2856,-1255.0704,-19901.387,9227.094,-30106.951,1692.8032,-32853.39,-15645.685,-153.93964,9321.047,-1004.77924,-20731.18,7270.6133,-6462.329,-3116.0942,-25426.582,2921.7102,-5095.8745,-968.70123,-3222.0732,-5188.3247,2335.4426,-29308.727,-34419.023,-24672.703,-6949.3823,-1612.0924,-29373.365,-1607.5826,-29918.295,-36115.44,-32788.0,-33775.633,-36235.703,-33662.89,-29548.494,-29614.637,-32652.707,-32130.326,-30188.127,-33905.664
791,3.164,309.164,-17381.188,-29652.219,-19188.846,-9179.454,-22237.438,-20512.457,-18159.12,6696.3716,-13102.186,3557.5852,-929.61676,-26309.742,-16604.758,-11940.925,-23726.406,-17986.996,548.0782,-6299.2266,-7945.2856,-1256.5737,-19899.883,9226.342,-30103.193,1689.0452,-32851.137,-15647.188,-155.44289,9321.798,-1007.0341,-20729.678,7268.3584,-6457.8193,-3116.8457,-25423.576,2920.207,-5094.3716,-970.2045,-3220.57,-5189.076,2341.4558,-29310.98,-34406.246,-24672.703,-6950.8857,-1609.8375,-29377.123,-1602.3212,-29922.053,-36111.684,-32788.75,-33776.387,-36234.953,-33668.152,-29546.992,-29615.389,-32651.203,-32134.836,-30188.127,-33909.42
792,3.168,309.168,-17384.193,-29661.99,-19192.604,-9183.212,-22242.7,-20516.215,-18162.125,6692.6133,-13105.192,3554.5786,-933.3749,-26315.004,-16608.516,-11943.18,-23730.164,-17989.252,545.0717,-6300.73,-7947.5405,-1257.3253,-19902.139,9224.839,-30109.959,1688.2935,-32857.9,-15647.939,-155.44289,9320.295,-1007.0341,-20737.193,7268.3584,-6466.0874,-3116.8457,-25443.117,2920.9587,-5095.8745,-968.70123,-3225.0798,-5188.3247,2335.4426,-29307.975,-34417.523,-24671.951,-6947.879,-1611.3407,-29377.875,-1604.576,-29917.543,-36111.684,-32784.992,-33773.38,-36234.2,-33665.9,-29545.488,-29607.873,-32648.197,-32133.334,-30183.617,-33907.92
793,3.172,309.172,-17384.193,-29660.486,-19191.852,-9185.467,-22241.947,-20519.223,-18162.877,6693.365,-13106.695,3553.0754,-934.8781,-26313.5,-16609.268,-11943.18,-23732.42,-17990.756,545.0717,-6300.73,-7948.292,-1258.8285,-19903.64,9222.584,-30108.455,1685.287,-32857.15,-15647.939,-156.94614,9319.543,-1009.289,-20736.441,7263.8486,-6463.8325,-3120.604,-25437.857,2920.207,-5095.123,-971.70776,-3223.5767,-5190.5796,2336.1943,-29313.236,-34414.516,-24672.703,-6950.134,-1609.0858,-29378.627,-1600.818,-29922.805,-36105.67,-32786.496,-33779.39,-36231.19,-33669.656,-29543.232,-29613.887,-32643.688,-32132.582,-30185.121,-33904.16
794,3.176,309.176,-17384.945,-29656.729,-19190.35,-9185.467,-22243.45,-20516.215,-18167.387,6693.365,-13105.943,3553.0754,-931.12,-26306.736,-16606.262,-11942.428,-23729.412,-17990.756,545.0717,-6300.73,-7948.292,-1257.3253,-19902.139,9224.839,-30105.45,1687.5419,-32857.15,-15647.188,-155.44289,9321.047,-1007.78577,-20734.938,7266.1035,-6463.081,-3118.349,-25432.596,2921.7102,-5095.8745,-970.2045,-3222.0732,-5188.3247,2338.4492,-29310.229,-34414.516,-24670.447,-6947.879,-1607.5826,-29371.863,-1600.818,-29918.295,-36106.42,-32783.49,-33777.137,-36226.684,-33665.9,-29543.232,-29613.135,-32644.438,-32130.326,-30182.865,-33907.168
795,3.18,309.18,-17383.441,-29646.205,-19188.094,-9180.957,-22239.691,-20509.451,-18162.125,6694.1167,-13104.44,3553.8271,-929.61676,-26306.736,-16602.504,-11939.421,-23725.654,-17994.514,545.0717,-6299.978,-7946.7886,-1254.3188,-19899.883,9226.342,-30106.201,1689.0452,-32853.39,-15645.685,-156.19452,9320.295,-1008.5374,-20731.18,7268.3584,-6463.081,-3117.5974,-25431.092,2920.9587,-5096.6265,-971.70776,-3220.57,-5189.8276,2339.201,-29308.727,-34413.01,-24669.695,-6950.134,-1606.8309,-29370.36,-1599.3147,-29919.045,-36105.67,-32785.742,-33776.387,-36224.43,-33665.145,-29540.227,-29619.146,-32643.688,-32131.83,-30185.873,-33902.66
796,3.184,309.184,-17386.45,-29655.977,-19193.355,-9183.212,-22243.45,-20513.96,-18165.133,6693.365,-13107.447,3553.0754,-931.12,-26316.506,-16604.758,-11945.435,-23729.412,-17990.004,545.0717,-6300.73,-7949.7954,-1257.3253,-19904.393,9224.839,-30107.703,1686.7903,-32855.645,-15646.437,-156.19452,9320.295,-1008.5374,-20732.684,7266.855,-6463.081,-3119.1006,-25437.857,2919.4553,-5095.8745,-971.70776,-3222.0732,-5193.586,2336.1943,-29312.484,-34415.266,-24671.951,-6953.1406,-1607.5826,-29377.123,-1600.0664,-29926.562,-36108.68,-32785.742,-33780.895,-36225.934,-33669.656,-29541.73,-29625.16,-32646.693,-32137.092,-30193.389,-33902.66
797,3.188,309.188,-17382.69,-29658.982,-19194.107,-9183.212,-22241.947,-20513.96,-18161.375,6693.365,-13105.943,3553.0754,-931.87164,-26311.996,-16605.51,-11941.676,-23730.164,-17986.996,543.5685,-6301.4814,-7947.5405,-1258.8285,-19905.145,9225.59,-30104.697,1687.5419,-32852.637,-15647.939,-156.94614,9321.047,-1008.5374,-20733.436,7267.607,-6460.074,-3119.8523,-25431.844,2920.9587,-5093.6196,-970.9561,-3220.57,-5192.8345,2339.201,-29315.49,-34410.004,-24671.2,-6951.637,-1605.3278,-29376.373,-1598.5631,-29925.059,-36110.184,-32781.984,-33780.145,-36224.43,-33671.91,-29538.723,-29623.656,-32646.693,-32131.83,-30188.879,-33898.902
798,3.192,309.192,-17384.945,-29661.238,-19193.355,-9184.716,-22243.45,-20512.457,-18164.38,6691.862,-13107.447,3552.3237,-932.6232,-26311.244,-16606.262,-11943.931,-23730.916,-17990.004,542.81683,-6304.488,-7949.7954,-1261.0834,-19904.393,9224.087,-30107.703,1684.5354,-32857.9,-15649.443,-158.44939,9320.295,-1010.04065,-20734.938,7265.352,-6463.081,-3121.3555,-25431.092,2920.9587,-5092.868,-971.70776,-3221.3218,-5192.0825,2338.4492,-29314.738,-34410.758,-24670.447,-6949.3823,-1604.576,-29370.36,-1597.8115,-29922.053,-36107.176,-32777.477,-33776.387,-36221.42,-33665.9,-29536.469,-29617.645,-32646.693,-32127.32,-30182.865,-33892.137
799,3.196,309.196,-17382.69,-29654.473,-19189.598,-9183.212,-22241.947,-20512.457,-18163.629,6692.6133,-13106.695,3553.0754,-931.87164,-26306.736,-16605.51,-11942.428,-23727.91,-17990.004,543.5685,-6303.7363,-7948.292,-1259.5802,-19902.889,9223.335,-30106.201,1686.0386,-32857.15,-15647.188,-157.69777,9320.295,-1010.79224,-20731.932,7264.6,-6460.826,-3119.8523,-25429.588,2920.207,-5094.3716,-972.4594,-3220.57,-5192.8345,2337.6975,-29313.236,-34409.254,-24671.951,-6951.637,-1605.3278,-29371.863,-1598.5631,-29925.81,-36107.176,-32781.984,-33779.39,-36225.934,-33662.89,-29539.475,-29625.16,-32648.197,-32133.334,-30188.127,-33894.39
800,3.2,309.2,-17384.945,-29649.963,-19188.094,-9183.964,-22239.691,-20516.215,-18162.877,6692.6133,-13107.447,3552.3237,-931.87164,-26305.984,-16607.766,-11941.676,-23729.412,-17991.506,542.81683,-6302.233,-7948.292,-1260.3318,-19902.139,9221.08,-30108.455,1684.5354,-32857.15,-15645.685,-156.94614,9320.295,-1011.5439,-20731.18,7263.8486,-6463.081,-3122.1072,-25431.844,2919.4553,-5094.3716,-974.71423,-3223.5767,-5195.0894,2334.6912,-29313.236,-34412.26,-24673.453,-6954.6436,-1608.3342,-29375.621,-1600.0664,-29926.562,-36110.184,-32784.992,-33783.902,-36228.938,-33666.65,-29542.482,-29628.166,-32651.955,-32135.588,-30191.885,-33898.15
801,3.204,309.204,-17387.2,-29654.473,-19195.61,-9185.467,-22243.45,-20514.713,-18168.89,6691.862,-13107.447,3551.5723,-933.3749,-26313.5,-16608.516,-11944.683,-23733.172,-17996.016,543.5685,-6301.4814,-7949.0435,-1260.3318,-19905.145,9221.832,-30108.455,1678.5223,-32858.652,-15645.685,-156.94614,9320.295,-1010.79224,-20732.684,7263.097,-6463.081,-3122.1072,-25431.844,2920.9587,-5095.123,-973.211,-3224.3281,-5197.344,2335.4426,-29315.49,-34412.26,-24672.703,-6953.1406,-1607.5826,-29379.379,-1600.818,-29928.816,-36110.934,-32784.992,-33780.895,-36230.44,-33671.91,-29540.227,-29624.408,-32647.445,-32131.83,-30187.375,-33897.4
802,3.208,309.208,-17387.2,-29661.99,-19196.361,-9187.722,-22241.947,-20521.477,-18164.38,6692.6133,-13109.702,3552.3237,-935.62976,-26315.754,-16612.275,-11942.428,-23737.682,-17993.01,545.0717,-6302.985,-7946.7886,-1261.8351,-19905.896,9218.825,-30109.207,1667.248,-32857.15,-15647.188,-157.69777,9321.047,-1012.29553,-20734.938,7259.339,-6463.8325,-3124.362,-25434.098,2920.207,-5092.868,-975.4659,-3223.5767,-5199.599,2336.946,-29317.746,-34413.01,-24671.951,-6953.1406,-1605.3278,-29381.633,-1599.3147,-29931.072,-36109.43,-32784.242,-33780.145,-36228.938,-33674.164,-29538.723,-29623.656,-32645.941,-32125.816,-30188.879,-33894.39
803,3.212,309.212,-17387.2,-29659.734,-19197.865,-9189.225,-22244.953,-20519.975,-18169.643,6691.1104,-13109.702,3550.8206,-937.133,-26318.762,-16613.777,-11946.186,-23736.93,-17997.52,542.81683,-6302.985,-7949.7954,-1264.09,-19908.902,9218.074,-30110.71,1678.5223,-32861.656,-15647.188,-157.69777,9320.295,-1012.29553,-20734.938,7258.5874,-6464.584,-3125.8652,-25434.85,2919.4553,-5092.868,-975.4659,-3222.0732,-5199.599,2333.9395,-29320.0,-34416.02,-24670.447,-6952.3887,-1605.3278,-29378.627,-1600.0664,-29928.816,-36110.184,-32781.234,-33777.89,-36228.188,-33672.66,-29538.723,-29619.898,-32645.19,-32124.314,-30183.617,-33891.383
804,3.216,309.216,-17387.951,-29653.723,-19191.852,-9187.722,-22242.7,-20518.47,-18168.89,6692.6133,-13109.702,3550.8206,-934.8781,-26314.252,-16610.771,-11946.9375,-23733.922,-17994.514,544.32007,-6301.4814,-7949.0435,-1262.5867,-19907.398,9220.329,-30112.213,1681.5289,-32857.9,-15645.685,-157.69777,9320.295,-1011.5439,-20734.188,7260.8423,-6465.3354,-3123.6104,-25434.098,2919.4553,-5092.868,-974.71423,-3222.825,-5198.0957,2333.9395,-29316.994,-34419.777,-24672.703,-6952.3887,-1608.3342,-29377.875,-1601.5696,-29925.81,-36115.44,-32781.234,-33777.89,-36228.938,-33666.65,-29541.73,-29618.396,-32651.955,-32124.314,-30182.865,-33895.14
805,3.22,309.22,-17386.45,-29651.467,-19190.35,-9185.467,-22242.7,-20513.96,-18168.89,6693.365,-13108.198,3550.8206,-932.6232,-26313.5,-16607.766,-11946.9375,-23730.164,-17998.271,543.5685,-6301.4814,-7949.7954,-1261.0834,-19905.896,9222.584,-30108.455,1685.287,-32862.41,-15646.437,-156.19452,9319.543,-1008.5374,-20732.684,7264.6,-6465.3354,-3119.1006,-25436.354,2920.9587,-5092.868,-972.4594,-3222.825,-5194.3374,2333.9395,-29311.732,-34419.777,-24670.447,-6950.8857,-1607.5826,-29371.111,-1601.5696,-29922.053,-36113.94,-32779.73,-33775.633,-36227.434,-33660.637,-29540.979,-29615.389,-32649.7,-32122.81,-30179.86,-33895.895
806,3.224,309.224,-17385.697,-29654.473,-19192.604,-9183.212,-22241.195,-20513.209,-18165.883,6692.6133,-13106.695,3553.0754,-932.6232,-26313.5,-16608.516,-11946.186,-23731.668,-17993.762,544.32007,-6299.978,-7948.292,-1258.8285,-19904.393,9222.584,-30109.207,1685.287,-32859.402,-15647.188,-155.44289,9321.047,-1008.5374,-20734.188,7265.352,-6463.081,-3118.349,-25435.602,2920.207,-5093.6196,-973.211,-3224.3281,-5195.841,2334.6912,-29313.988,-34419.777,-24672.703,-6953.1406,-1608.3342,-29374.117,-1602.3212,-29925.81,-36118.45,-32781.234,-33778.64,-36230.44,-33668.152,-29545.488,-29616.893,-32654.209,-32129.574,-30185.121,-33901.906
807,3.228,309.228,-17382.69,-29659.734,-19194.107,-9181.709,-22239.691,-20512.457,-18163.629,6694.868,-13106.695,3553.8271,-931.87164,-26316.506,-16605.51,-11943.931,-23730.916,-17993.762,545.0717,-6299.978,-7946.7886,-1258.8285,-19903.64,9225.59,-30105.45,1685.287,-32858.652,-15647.939,-155.44289,9321.798,-1007.78577,-20733.436,7266.1035,-6462.329,-3117.5974,-25431.844,2920.207,-5094.3716,-970.9561,-3224.3281,-5195.841,2335.4426,-29315.49,-34418.273,-24671.951,-6952.3887,-1609.0858,-29375.621,-1603.0729,-29929.568,-36118.45,-32781.984,-33777.89,-36231.945,-33671.156,-29545.488,-29619.898,-32654.209,-32131.078,-30187.375,-33903.41
808,3.232,309.232,-17382.69,-29658.982,-19188.846,-9181.709,-22236.686,-20510.955,-18163.629,6694.1167,-13105.943,3553.8271,-931.87164,-26313.5,-16604.758,-11943.931,-23727.158,-17991.506,546.57495,-6298.475,-7946.7886,-1258.8285,-19904.393,9226.342,-30107.703,1688.2935,-32857.9,-15647.188,-153.93964,9321.047,-1007.0341,-20731.18,7267.607,-6462.329,-3116.0942,-25432.596,2920.207,-5094.3716,-970.9561,-3222.0732,-5192.8345,2336.946,-29312.484,-34416.02,-24671.951,-6950.8857,-1608.3342,-29369.607,-1602.3212,-29925.81,-36116.195,-32778.227,-33777.137,-36230.44,-33665.9,-29545.488,-29613.887,-32651.203,-32127.32,-30181.363,-33901.156
