sample_in_window,time_seconds_in_window,absolute_time_seconds_in_recording,Fpz,Fp1,Fp2,AF3,AF4,AF7,AF8,Fz,F1,F2,F3,F4,F5,F6,F7,F8,FCz,FC1,FC2,FC3,FC4,FC5,FC6,FT7,FT8,Cz,C1,C2,C3,C4,C5,C6,T7,T8,CP1,CP2,CP3,CP4,CP5,CP6,TP7,TP8,Pz,P3,P4,P5,P6,P7,P8,POz,PO3,PO4,PO5,PO6,PO7,PO8,Oz,O1,O2
10,0.04,306.04,-17413.508,-29663.492,-19217.408,-9210.2705,-22203.613,-20490.66,-18145.59,6696.3716,-13131.499,3580.134,-938.6362,-26233.828,-16597.994,-11928.147,-23729.412,-17970.46,539.81036,-6315.0107,-7949.0435,-1259.5802,-19926.19,9234.609,-30147.54,1677.0192,-32812.05,-15674.998,-160.70427,9327.812,-1007.78577,-20718.402,7275.123,-6461.5776,-3143.1526,-25452.889,2929.9783,-5105.646,-970.9561,-3238.6091,-5222.8994,2332.4363,-29329.02,-34426.543,-24685.48,-6965.1665,-1592.55,-29384.64,-1624.1184,-29930.32,-36113.94,-32815.81,-33823.74,-36272.53,-33674.164,-29550.75,-29607.121,-32658.719,-32068.693,-30183.617,-33923.703
11,0.044,306.044,-17410.5,-29661.99,-19219.662,-9208.016,-22204.365,-20486.15,-18144.838,6697.123,-13130.747,3580.134,-937.133,-26236.082,-16595.738,-11923.638,-23725.654,-17971.965,539.81036,-6315.0107,-7949.7954,-1257.3253,-19930.7,9236.864,-30151.297,1678.5223,-32831.594,-15674.998,-160.70427,9327.812,-1006.28253,-20722.16,7276.626,-6466.839,-3142.4011,-25455.145,2929.2266,-5105.646,-969.4529,-3240.1123,-5222.8994,2331.6846,-29331.275,-34426.543,-24684.729,-6962.9116,-1591.0469,-29385.393,-1621.8635,-29931.072,-36113.188,-32814.305,-33822.234,-36270.277,-33671.156,-29546.24,-29601.86,-32654.209,-32060.426,-30177.605,-33918.44
12,0.048,306.048,-17416.514,-29669.506,-19227.93,-9212.525,-22208.875,-20492.164,-18156.113,6694.1167,-13133.754,3577.1274,-940.8911,-26242.848,-16599.496,-11929.65,-23737.682,-17977.977,538.30707,-6318.017,-7951.2983,-1260.3318,-19930.7,9233.858,-30152.8,1674.7643,-32829.34,-15675.75,-161.45589,9327.06,-1008.5374,-20724.416,7275.8745,-6468.3423,-3143.1526,-25472.432,2927.7234,-5107.149,-970.2045,-3240.864,-5223.651,2330.1814,-29329.771,-34428.043,-24684.729,-6964.4146,-1592.55,-29389.15,-1624.87,-29930.32,-36116.195,-32815.06,-33824.49,-36271.03,-33680.176,-29550.75,-29607.121,-32657.217,-32064.184,-30179.107,-33922.2
13,0.052,306.052,-17418.768,-29668.754,-19230.938,-9214.028,-22210.379,-20493.666,-18151.604,6693.365,-13135.257,3575.6243,-942.39435,-26245.102,-16599.496,-11927.3955,-23738.432,-17980.984,536.80383,-6318.7686,-7951.2983,-1262.5867,-19929.947,9233.106,-30152.049,1677.0192,-32820.32,-15678.005,-162.20752,9327.06,-1007.78577,-20725.918,7275.8745,-6467.5903,-3142.4011,-25473.184,2928.4749,-5107.149,-970.2045,-3240.864,-5220.6445,2331.6846,-29329.771,-34422.03,-24683.225,-6962.9116,-1594.0533,-29386.895,-1623.3667,-29930.32,-36119.203,-32813.555,-33822.234,-36270.277,-33678.676,-29550.75,-29603.363,-32656.465,-32062.68,-30177.605,-33921.45
14,0.056,306.056,-17415.762,-29663.492,-19222.668,-9211.773,-22206.621,-20489.156,-18147.094,6693.365,-13133.002,3577.1274,-942.39435,-26239.09,-16597.242,-11926.644,-23736.93,-17976.475,536.80383,-6318.7686,-7950.547,-1262.5867,-19926.19,9233.106,-30146.787,1675.5159,-32816.56,-15678.005,-162.20752,9327.06,-1007.78577,-20720.658,7275.123,-6464.584,-3148.414,-25464.916,2929.2266,-5105.646,-970.9561,-3238.6091,-5222.148,2332.4363,-29329.771,-34428.797,-24681.723,-6965.1665,-1591.0469,-29389.902,-1621.8635,-29929.568,-36114.69,-32814.305,-33823.74,-36268.773,-33677.17,-29547.742,-29608.625,-32653.457,-32061.178,-30178.355,-33919.945
15,0.06,306.06,-17418.018,-29661.238,-19224.172,-9211.022,-22208.123,-20487.654,-18153.105,6693.365,-13133.754,3577.1274,-940.1395,-26232.324,-16596.49,-11923.638,-23732.42,-17974.97,536.0522,-6318.7686,-7951.2983,-1259.5802,-19928.445,9236.113,-30148.291,1680.7772,-32820.32,-15676.501,-162.20752,9326.308,-1007.78577,-20720.658,7277.378,-6467.5903,-3137.8914,-25466.418,2929.9783,-5104.894,-969.4529,-3240.1123,-5222.148,2330.1814,-29330.523,-34429.547,-24680.97,-6963.663,-1592.55,-29387.646,-1624.1184,-29931.072,-36119.203,-32815.06,-33820.73,-36265.77,-33668.152,-29547.742,-29609.377,-32655.713,-32061.93,-30176.854,-33919.195
16,0.064,306.064,-17415.762,-29658.982,-19222.668,-9211.773,-22207.371,-20486.902,-18146.342,6694.868,-13133.754,3577.8792,-940.8911,-26236.834,-16594.236,-11925.893,-23732.42,-17976.475,537.5555,-6317.2656,-7950.547,-1259.5802,-19926.941,9234.609,-30153.553,1678.5223,-32815.06,-15676.501,-160.70427,9326.308,-1008.5374,-20720.658,7275.8745,-6466.0874,-3145.4075,-25467.922,2929.2266,-5105.646,-969.4529,-3240.864,-5222.8994,2329.4297,-29328.268,-34430.3,-24682.473,-6965.1665,-1593.3018,-29385.393,-1626.3732,-29931.072,-36122.207,-32818.816,-33820.73,-36270.277,-33668.902,-29551.5,-29609.377,-32659.47,-32064.936,-30176.102,-33922.953
17,0.068,306.068,-17418.018,-29670.258,-19227.178,-9214.028,-22208.875,-20490.66,-18147.094,6694.1167,-13133.002,3577.1274,-940.8911,-26242.848,-16594.988,-11928.898,-23733.172,-17971.965,536.80383,-6318.017,-7949.7954,-1259.5802,-19929.947,9234.609,-30151.297,1677.7708,-32812.8,-15677.253,-160.70427,9327.06,-1007.78577,-20724.416,7275.123,-6465.3354,-3143.1526,-25468.674,2929.2266,-5106.3975,-970.9561,-3241.6155,-5224.403,2330.9329,-29332.027,-34428.797,-24682.473,-6966.6694,-1593.3018,-29385.393,-1626.3732,-29937.084,-36117.7,-32820.32,-33823.74,-36268.773,-33674.164,-29549.998,-29612.383,-32657.967,-32064.936,-30180.611,-33919.945
18,0.072,306.072,-17418.768,-29674.768,-19230.938,-9214.78,-22208.875,-20490.66,-18147.846,6694.1167,-13135.257,3576.3757,-941.64276,-26247.357,-16594.988,-11931.905,-23731.668,-17974.219,538.30707,-6317.2656,-7952.802,-1259.5802,-19932.203,9237.616,-30154.305,1680.0256,-32817.312,-15678.756,-159.95264,9325.557,-1006.28253,-20726.67,7278.881,-6467.5903,-3140.1462,-25470.928,2929.9783,-5108.6523,-969.4529,-3243.8704,-5221.396,2328.6782,-29326.766,-34434.06,-24683.977,-6964.4146,-1595.5566,-29381.633,-1628.628,-29931.072,-36124.46,-32821.07,-33820.73,-36271.78,-33675.668,-29551.5,-29604.867,-32663.229,-32063.432,-30176.102,-33921.45
19,0.076,306.076,-17410.5,-29664.244,-19219.662,-9208.768,-22204.365,-20484.646,-18144.086,6696.3716,-13129.995,3580.134,-937.88464,-26239.84,-16591.98,-11925.141,-23727.91,-17971.213,539.81036,-6315.762,-7949.0435,-1256.5737,-19926.941,9236.864,-30147.54,1670.2545,-32816.56,-15676.501,-159.20102,9327.06,-1005.5309,-20722.912,7277.378,-6465.3354,-3140.8977,-25467.922,2930.7297,-5107.901,-967.94965,-3242.3672,-5220.6445,2329.4297,-29328.268,-34431.05,-24682.473,-6963.663,-1594.8049,-29379.379,-1627.8765,-29932.574,-36123.71,-32820.32,-33821.484,-36271.78,-33670.406,-29551.5,-29609.377,-32663.229,-32065.688,-30182.865,-33921.45
