buffer_seconds,manual_intervals,predicted_intervals,manual_intervals_detected,predicted_intervals_with_manual_match,interval_precision,interval_recall,interval_f1_dice_style
0.0,1604,74454,1184,14252,0.1914202057646332,0.7381546134663342,0.3040050248192692
0.5,1604,74454,1192,15705,0.21093561124989926,0.743142144638404,0.3286003505634914
1.0,1604,74454,1201,16944,0.2275767588040938,0.7487531172069826,0.3490599063804408
2.0,1604,74454,1213,18990,0.25505681360303006,0.7562344139650873,0.38145834692291536
3.0,1604,74454,1223,20503,0.2753780857979424,0.7624688279301746,0.40462076543018355
5.0,1604,74454,1279,22979,0.3086335186826766,0.7973815461346634,0.4450186623033344
