label,Dice,Precision,Recall
"M1 random
Split U-Net",0.39387209941916,0.3250314697069864,0.499708839525168
"M2 Physio flow-init
Split U-Net",0.4038764018083824,0.3391007227040097,0.4992427156457352
"M3 final
Multi-dataset flow-init",0.5812946292356017,0.4335932065421683,0.8816112126165977
