method,description,available_folds,expected_folds,test_dice_mean,test_dice_std,test_iou_mean,test_iou_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_accuracy_mean,test_accuracy_std,validation_dice_mean,validation_dice_std
random_split_unet,Random-initialized Split U-Net,5,5,0.38820457360684346,0.02234265892101089,0.24104193956364947,0.017105848133207955,0.3796530732199655,0.047764743054922766,0.4031966023810812,0.03181234619691649,0.9464231281910432,0.006457661475810536,0.43194000859255643,0.013736740743264192
m3_flowinit_split_unet,Split U-Net initialized from M3 flow-matching checkpoint,5,5,0.36960129208541553,0.04015828144661078,0.22728927821712028,0.030226189644724816,0.3587171107858118,0.06619700905740138,0.38948955798902785,0.03592430670012183,0.9438236600933831,0.007892583466873075,0.411119204550729,0.014184539332543905
