epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_f1,validation_precision,validation_recall_sensitivity,validation_specificity,test_loss,test_dice,test_iou,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_accuracy
1,1.0535058117429559,0.9723288497328223,0.291465118023816,0.17059360104295423,0.291465118023816,0.3801585855077905,0.23632821118251832,0.9822547199827798,1.0369447369491105,0.3051397433488266,0.1800382905619273,0.3051397433488266,0.3838800372985106,0.253203433022406,0.9808858999927884,0.9481973601319934
2,0.9198703566839737,0.9325543165892636,0.31183689035761125,0.18471964502510016,0.31183689035761125,0.4160059398000032,0.24938915042122087,0.9838772932024009,1.0219470705606242,0.3190426938050883,0.1897982135711033,0.3190426938050883,0.42009413843695287,0.2571795097819235,0.9833021039562599,0.9506836358182091
3,0.8818910767083442,0.9246886596391682,0.32329425779087284,0.19281514320152543,0.32329425779087284,0.4570447008322134,0.25010348995764015,0.9863171472832002,1.0213797598813488,0.3246492951037504,0.19377990181694835,0.3246492951037504,0.4672584511821682,0.2487345204132876,0.9866614083046105,0.9535126743662817
4,0.8582194391366205,0.9041181605174647,0.34846400544201517,0.2109938908932334,0.34846400544201517,0.3730539223292433,0.32691532270901025,0.9746985530889414,0.9871931877811398,0.3716736153163632,0.2282549854945541,0.37167361531636334,0.4072166588705495,0.34183708903633897,0.9765952423968381,0.9480809959502025
5,0.8414232674766376,0.9129212907207928,0.3226908185002465,0.19238600853046955,0.32269081850024645,0.3937886056107536,0.2733398297953526,0.980621713553207,0.9872506635378947,0.3455549917939618,0.20886459814621275,0.34555499179396176,0.4389388797274262,0.2849352501843126,0.9828696271295299,0.9515174141292936
6,0.8307389911056805,0.9533436941239081,0.2830758923295696,0.16487385264434007,0.28307589232956964,0.30283982390466396,0.2657335878103917,0.9718280091152701,1.0339440165367801,0.28415142895489304,0.16560402459164514,0.2841514289548931,0.3205130893301809,0.25519948499321515,0.9745534077628601,0.9422389980500975
7,0.819337484340281,0.8888568223412038,0.36031214529763034,0.21974435211208715,0.36031214529763034,0.46556038571985586,0.29387618487489214,0.9844640248553532,1.0034037585807059,0.35780764669567533,0.21788412665283421,0.35780764669567533,0.45157869130607814,0.29628383071021785,0.9830759872683646,0.9522242987850608
8,0.8144612879350158,0.8867182537910644,0.3684715423682104,0.22584438576269605,0.36847154236821034,0.4229120758647742,0.326448545213831,0.9794856320918053,0.9837912510981602,0.37725530473872626,0.2324797645867426,0.37725530473872626,0.4260374326336988,0.3384967571668216,0.978551109344364,0.9497989500524974
9,0.8068822410768597,0.8842653912133329,0.33588966664193665,0.2018433873697147,0.33588966664193665,0.4512175141357688,0.2675148552449962,0.9850164852493699,0.9865503026320871,0.32696459755189744,0.1954319657990859,0.32696459755189744,0.4267232990134143,0.2650107916359479,0.9832545814463578,0.9509900404979751
10,0.8014107996648835,0.8786421546870891,0.37829961670500833,0.23327343361439817,0.37829961670500833,0.4333370106683097,0.3356671100803731,0.979785669741874,0.9844236089065012,0.3740825771872933,0.2300747700582238,0.3740825771872933,0.4234435585835754,0.33502820784049747,0.9785443249014434,0.9496366581670916
11,0.8005382479732086,0.8675094030967574,0.3889766961384266,0.24144697051002392,0.3889766961384266,0.4426955879441481,0.3468840539871828,0.9798894880848396,0.9771758993115045,0.39136986846669586,0.24329388141800648,0.39136986846669586,0.3920884839377551,0.3906538823177442,0.9715119357196648,0.9454189590520474
12,0.7943944873264346,0.8872577067482671,0.3419972445087671,0.20627061286604448,0.34199724450876706,0.5340184351859492,0.2515466468284847,0.989891597648276,0.9879962353579765,0.35243878847923515,0.21391544424253597,0.35243878847923515,0.5452648537975711,0.26036424442521183,0.9897871519235277,0.9570204289785511
13,0.7897275537864463,0.8803577194127294,0.33378362608307405,0.20032429839734356,0.33378362608307405,0.48722211341777716,0.25384230516662504,0.987696807991796,0.9739038348197937,0.3642730625615255,0.22269796640506023,0.3642730625615254,0.5165379083901517,0.2813398189996901,0.9876147167633282,0.9558878356082195
14,0.7852442193977235,0.8961149599833731,0.3181416705789066,0.18916080208040648,0.3181416705789065,0.4237143430981181,0.2546844811680388,0.9840478718506873,0.9897836995335807,0.31353960348441434,0.1859157820321319,0.31353960348441434,0.4536750830934542,0.23954627047472513,0.9864321820803765,0.9528809959502025
15,0.7819036615641813,0.8830843739815588,0.33595850989716847,0.20189310897314675,0.33595850989716847,0.48192237326834414,0.2578586899370003,0.9872341122131658,0.9880345147267907,0.3333188901249131,0.19998960098005458,0.3333188901249131,0.4931974836315677,0.2517195830795696,0.987833954779929,0.9547666416679166
16,0.7804514507902343,0.8758614777704377,0.3575123200942604,0.21766514566171824,0.3575123200942605,0.5058580039496761,0.27644367037591727,0.9875639834384163,0.9713448924300945,0.38026982353145267,0.23477356232291996,0.38026982353145267,0.5302270357306246,0.29643341774315907,0.9876471313239489,0.9565968201589921
