channel_index,channel,matched_intervals,mean_interval_dice,mean_interval_iou,median_start_error_seconds,median_end_error_seconds,mean_start_error_seconds,mean_end_error_seconds
2,Fp2,91,0.5890814025353658,0.47177480245236536,0.58400000000006,0.5360000000000014,1.0954285714285736,0.9802637362637308
1,Fp1,90,0.5719588168996877,0.45470954046250767,0.7059999999999604,0.52800000000002,1.114755555555561,1.0437333333333236
15,F8,86,0.36815015922620437,0.251778461450948,0.7520000000000095,0.88799999999992,1.4231162790697751,1.5111162790697557
32,T7,85,0.4445512630918777,0.33616355168326784,0.7719999999999914,0.5880000000000223,1.3236705882353001,1.4624470588235252
14,F7,83,0.499042350895821,0.38599622290933616,0.8559999999999945,0.5440000000000396,1.4228915662650687,1.1239036144578243
33,T8,82,0.42886145617516447,0.31111076248735997,0.5860000000000412,0.7560000000000002,1.2703902439024435,1.3610243902439
11,F4,60,0.4354681416999934,0.32619682162489344,0.8899999999999864,0.7160000000000082,1.4946000000000093,1.3765999999999916
7,Fz,52,0.287450864046821,0.19120119070766395,1.1159999999999854,1.078000000000003,1.8826923076923094,1.75507692307692
29,C4,45,0.21380091227379588,0.13265290828832055,1.0279999999999063,1.29200000000003,1.9648888888888778,1.9724444444444342
10,F3,36,0.5544801828429514,0.42969587442277873,1.5060000000000286,0.7479999999999905,2.046333333333351,1.4272222222222157
28,C3,35,0.18656496665758626,0.1144093346326483,1.551999999999964,1.4960000000000377,2.3858285714285734,2.585714285714287
48,P8,32,0.19787302200148502,0.11985239523325344,1.7820000000000107,0.5579999999999927,1.9038750000000029,1.1969999999999938
47,P7,30,0.1474406668824184,0.08683002442179318,1.695999999999998,1.1999999999999886,1.926266666666669,1.9211999999999931
25,Cz,22,0.16436546757684703,0.09506172043696776,2.695999999999998,1.9419999999999789,3.304181818181821,2.880363636363631
44,P4,21,0.16864454288156785,0.09783854627881483,2.26400000000001,0.5400000000000205,2.3820952380952356,1.009904761904755
43,P3,20,0.1541868609111078,0.08882164639144872,2.1999999999999886,0.681999999999988,2.2049999999999983,1.197399999999999
9,F2,9,0.29463049191507457,0.179446733288669,1.8960000000000719,0.5400000000000773,2.5991111111111422,1.4031111111111159
58,O2,9,0.1746730068827764,0.09862315716417314,2.0919999999999845,0.97199999999998,2.8231111111111002,1.7084444444444418
42,Pz,9,0.23933706836654864,0.14434133252138756,0.9640000000000555,1.839999999999975,1.8328888888889057,2.562666666666663
13,F6,9,0.30774793848195414,0.1855354536013785,0.76400000000001,0.40399999999999636,2.2920000000000047,1.533333333333303
57,O1,8,0.18780999553011968,0.10582446133467349,1.6120000000000232,1.3520000000000323,3.1700000000000017,1.4854999999999876
31,C6,8,0.3251106851144743,0.19816294461211098,3.0679999999999836,0.8920000000000528,3.0745000000000147,1.0780000000000172
16,FCz,8,0.3122390999635871,0.19018191419901184,2.0680000000000405,0.47800000000000864,2.883500000000012,1.3605000000000018
8,F1,7,0.3354416528178864,0.205416595718301,2.7519999999999527,2.004000000000019,3.1811428571428615,1.8411428571428619
4,AF4,7,0.3037872986737907,0.18303337252975063,2.396000000000072,2.1639999999999873,2.4422857142857475,2.424571428571442
5,AF7,7,0.39713734129250106,0.24974867106656878,1.1720000000000255,2.0639999999999645,2.7257142857142918,1.8131428571428583
6,AF8,7,0.3714874644842495,0.23480746409747416,2.9920000000000755,1.2480000000000473,3.005714285714313,1.6725714285714244
26,C1,7,0.3850281199325571,0.24609688107429223,2.58400000000006,1.288000000000011,3.0382857142857347,1.478857142857123
24,FT8,7,0.3706187133232306,0.23036479774919133,2.8279999999999745,1.288000000000011,2.8468571428571425,1.6805714285714137
23,FT7,7,0.4649786368741725,0.3116652028221401,2.58400000000006,2.2520000000000664,2.224000000000014,2.1371428571428623
22,FC6,7,0.3558504859326102,0.22232413985746166,2.6680000000000064,1.2559999999999718,2.6165714285714494,2.049142857142848
20,FC4,7,0.46105617518502356,0.3284142871012217,0.76400000000001,2.0639999999999645,1.750857142857139,2.2851428571428705
21,FC5,7,0.36095391080387795,0.2279990070223707,0.9759999999999991,2.0599999999999454,2.2080000000000024,2.460000000000004
19,FC3,7,0.434836259317037,0.28931494112059764,0.76400000000001,2.0720000000000027,1.8422857142857245,2.6639999999999873
18,FC2,7,0.4436878597947741,0.2938042038531344,1.8559999999999945,1.995999999999981,2.2868571428571323,2.1497142857142535
12,F5,7,0.3379725530038083,0.2075924234569544,0.9800000000000182,0.40399999999999636,2.9217142857143017,1.8371428571428428
17,FC1,7,0.3520149279806141,0.216667912272223,0.9679999999999609,0.8880000000000337,2.530857142857144,2.1165714285714166
0,Fpz,7,0.32576103901882286,0.19719387287201015,2.9440000000000737,0.40800000000001546,3.2257142857142918,1.5520000000000047
3,AF3,7,0.24652603109873455,0.1414574785405999,1.8600000000000136,0.5879999999999654,3.1982857142857193,1.8371428571428428
34,CP1,7,0.27320297770852053,0.1593246540232374,2.1720000000000255,1.2960000000000491,2.113142857142878,2.755428571428589
35,CP2,7,0.3365132790398649,0.20445346241736836,1.3920000000000528,2.255999999999972,2.273142857142862,2.365714285714278
30,C5,7,0.28230425340686566,0.16939532628665419,1.768000000000029,2.288000000000011,1.9125714285714497,3.0588571428571476
27,C2,7,0.4260074941459008,0.2843840106533982,1.844000000000051,2.255999999999972,2.2445714285714433,2.034285714285699
41,TP8,7,0.3516353861221545,0.21862417970278916,0.8999999999999773,2.5119999999999436,1.5114285714285773,3.1994285714285815
40,TP7,7,0.3608709314880146,0.22609878436419364,1.7720000000000482,2.0679999999999836,2.6742857142857344,2.1000000000000063
39,CP6,7,0.3226516692530265,0.19679123670836038,1.740000000000009,2.0879999999999654,2.7120000000000055,2.1091428571428588
38,CP5,7,0.28406752506757205,0.17003976523731948,1.8640000000000327,0.9239999999999782,2.752571428571449,2.216000000000008
36,CP3,7,0.36818011285886565,0.2293958623483971,1.6639999999999873,1.759999999999991,3.008000000000006,1.4748571428571526
37,CP4,7,0.327676103710691,0.19878977248115176,1.6720000000000255,1.759999999999991,2.162285714285726,2.557142857142838
46,P6,7,0.31456617666039427,0.19016346365151407,1.7720000000000482,2.0919999999999845,2.4942857142857355,2.322857142857125
45,P5,7,0.3229495109451507,0.19629097320747071,1.9440000000000737,0.4479999999999791,3.638285714285741,1.1394285714285712
50,PO3,7,0.30404801455401576,0.1827013624363138,1.8680000000000518,2.0960000000000036,2.972571428571444,1.9514285714285668
