epoch,train_flow_mse,train_flow_rmse,validation_flow_mse,validation_flow_rmse,test_flow_mse,test_flow_rmse,best_validation_flow_mse_so_far,is_best_epoch
1,0.5247817080784373,0.7244181859108986,0.4898111392720288,0.6998650864788362,0.4873564404022258,0.6981091894555076,0.4898111392720288,True
2,0.47586624863310695,0.6898305941556282,0.4640995355234275,0.6812485123091481,0.4589492101120967,0.6774579028338932,0.4640995355234275,True
3,0.4673015805683211,0.683594602500869,0.4608217777879946,0.6788385506053664,0.4562245508729717,0.6754439657536158,0.4608217777879946,True
4,0.461572760204134,0.6793914631522345,0.4551715898787543,0.6746640570526595,0.4506096194303582,0.6712746229601997,0.4551715898787543,True
5,0.45794422570704196,0.67671576434057,0.44685207673902005,0.6684699520090788,0.4426250182356559,0.6653006976064703,0.44685207673902005,True
6,0.4552176381333596,0.6746981829924841,0.45201600062068603,0.6723213521975083,0.4491034869285051,0.6701518387115752,0.44685207673902005,False
7,0.4540596960498911,0.6738395180233132,0.4644665946802786,0.6815178608666677,0.45872780908361305,0.6772944773756929,0.44685207673902005,False
8,0.4527686300857957,0.672880843898677,0.45040711469277106,0.6711237700251504,0.44713182464469686,0.6686791642070933,0.44685207673902005,False
9,0.4525334125838987,0.6727060372732645,0.4489838442691489,0.6700625674287057,0.44623927638123795,0.6680114343192323,0.44685207673902005,False
10,0.4509795621375776,0.6715501188575411,0.44512957827471766,0.6671803191602085,0.4435463252076211,0.6659927366027508,0.44512957827471766,True
11,0.44955797796208674,0.6704908485297072,0.44548224600625086,0.6674445639948317,0.4397703513090118,0.6631518312641622,0.44512957827471766,False
12,0.45061698148620205,0.6712801065771293,0.44757464392624546,0.6690101971765793,0.445593807941828,0.6675281326969134,0.44512957827471766,False
13,0.4489614235506262,0.6700458369026899,0.46263690742629426,0.6801741743305859,0.4606019522482421,0.6786766183155584,0.44512957827471766,False
14,0.44905144782445716,0.6701130112335211,0.45380353384488875,0.673649414640055,0.4528059259315625,0.6729085568868645,0.44512957827471766,False
15,0.4484772474766453,0.6696844387296492,0.4443689878857449,0.6666100718454117,0.4445791582899432,0.6667676943958392,0.4443689878857449,True
16,0.448239104377809,0.6695066126468124,0.44349011020491214,0.6659505313496733,0.4401557616420559,0.6634423574373707,0.44349011020491214,True
17,0.44704547593220306,0.6686145944654537,0.448009162634404,0.6693348658439989,0.44934969470464514,0.6703355090584454,0.44349011020491214,False
18,0.4470676684011978,0.6686311901199329,0.44850193245222486,0.669702868780047,0.4427682173218143,0.6654083087261643,0.44349011020491214,False
19,0.4471863198813884,0.6687199113839728,0.45226963200860193,0.672509949375176,0.4473145469517573,0.6688157795325685,0.44349011020491214,False
20,0.44650418663742736,0.6682096876261429,0.4432277141915824,0.6657534935631825,0.442401386610247,0.6651326082896907,0.4432277141915824,True
