epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_f1,validation_precision,validation_recall_sensitivity,validation_specificity,test_loss,test_dice,test_iou,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_accuracy
1,1.0866628035708947,0.972754243936081,0.29743803538970875,0.17470027028225724,0.29743803538970875,0.33969722708778916,0.2645298544098238,0.9763202390267778,1.0324952850299598,0.3162963992770749,0.18785752975836603,0.3162963992770749,0.3555114970260493,0.2848731448536718,0.9757099982335321,0.9446766161691915
2,0.9361369647961402,0.9375299506750592,0.31998230039800873,0.1904636483733564,0.3199823003980087,0.3994174377767902,0.266901583472478,0.9815180262347347,1.0026665250811957,0.35365373598262045,0.21481127252030324,0.35365373598262045,0.4076758303408196,0.3122736160528256,0.9786600059351311,0.9487249737513125
3,0.903976693229847,0.944330648490471,0.30699203208788206,0.18132934865420414,0.30699203208788206,0.46341807769082966,0.2295184418633917,0.9877613883375596,1.0106439764520763,0.3245120942230009,0.19368214661776986,0.3245120942230009,0.4645313308650822,0.24935223472342427,0.9864809295591394,0.9533680515974201
4,0.8834788584213287,0.9078386887123147,0.34994853054047703,0.21208340286203511,0.34994853054047703,0.38217669152795464,0.3227331214758119,0.9759732442829457,0.9851739754719017,0.3631173846405334,0.22183471266251503,0.3631173846405334,0.38066126306107323,0.34711938113707513,0.9734366444848886,0.9453015749212539
5,0.8677396532289738,0.9081010893697086,0.3552405523993609,0.21598328735401567,0.3552405523993609,0.381077681110947,0.3326844899156185,0.9751167738681114,0.9977257584048583,0.3537881131886784,0.21491043529879905,0.3537881131886785,0.3555825684793358,0.35201167847335746,0.9699946704431723,0.942233988300585
6,0.855985400362739,0.9771534596418662,0.2750830058880354,0.15947608309677289,0.27508300588803536,0.27199820052830254,0.27823858514210303,0.9657046467745111,1.0648605338240091,0.2693096793634714,0.15560824264876127,0.26930967936347144,0.25897307215203297,0.2805057377311921,0.9622483756912907,0.9316235188240588
7,0.8439927703536475,0.8999676712121163,0.3454468829503852,0.2087856106828309,0.3454468829503853,0.44649765893677834,0.2816942113002231,0.9839183835278115,1.0032615888435228,0.3417268063857643,0.20607388921301004,0.34172680638576436,0.43328946923068246,0.2821111271382932,0.9826452693712806,0.9511762711864407
8,0.8374012861907727,0.8972485245677736,0.3557527768376892,0.21636209678583795,0.3557527768376892,0.4088926835208293,0.31483646538209015,0.9790398915541766,0.990796752208102,0.3560838456424059,0.21660706034095492,0.3560838456424059,0.40964042763337916,0.3149120909061769,0.9786539439097438,0.9488377081145942
9,0.8290818663396838,0.8865281657394307,0.3679112640116762,0.22542356668424937,0.3679112640116762,0.38461265540751277,0.35259998829595984,0.974018825126171,0.9793494454527323,0.3664690175071406,0.22434163871681725,0.3664690175071406,0.3583297438204542,0.37498664401491594,0.9684165650466003,0.9417588420578971
10,0.8221443856938636,0.8823251569633237,0.3759211955774959,0.2314673367781358,0.3759211955774959,0.3945453128197489,0.3589760880480435,0.9746310916270376,0.9790879962718593,0.3704866445723236,0.22736029952641104,0.37048664457232355,0.37362167962051834,0.3674037834834546,0.9710290467128997,0.9439133343332833
